time,ECG
0.001,0.081
0.002,0.083
0.003,0.088
0.004,0.098
0.005,0.092
0.006,0.085
0.007,0.073
0.008,0.071
0.009,0.07
0.01,0.083
0.011,0.073
0.012,0.079
0.013,0.084
0.014,0.078
0.015,0.067
0.016,0.071
0.017,0.076
0.018,0.077
0.019,0.064
0.02,0.053
0.021,0.041
0.022,0.051
0.023,0.003
0.024,0.031
0.025,0.037
0.026,0.035
0.027,0.048
0.028,0.04
0.029,0.042
0.03,0.042
0.031,0.032
0.032,0.021
0.033,0.041
0.034,0.048
0.035,0.047
0.036,0.045
0.037,0.042
0.038,0.028
0.039,0.015
0.04,0.001
0.041,-0.012
0.042,-0.004
0.043,0.015
0.044,0.023
0.045,0.022
0.046,0.04
0.047,0.046
0.048,0.049
0.049,0.048
0.05,0.043
0.051,0.052
0.052,0.049
0.053,0.044
0.054,0.041
0.055,0.041
0.056,0.045
0.057,0.057
0.058,0.067
0.059,0.065
0.06,0.058
0.061,0.047
0.062,0.034
0.063,0.035
0.064,0.023
0.065,0.011
0.066,0.007
0.067,0.014
0.068,0.023
0.069,0.018
0.07,0.031
0.071,0.035
0.072,0.044
0.073,0.049
0.074,0.034
0.075,0.007
0.076,-0.003
0.077,-0.008
0.078,-0.011
0.079,-0.02
0.08,-0.028
0.081,-0.004
0.082,0.015
0.083,0.02
0.084,0.026
0.085,0.026
0.086,0.024
0.087,0.034
0.088,0.035
0.089,0.03
0.09,0.022
0.091,0.012
0.092,0.015
0.093,0.018
0.094,0.024
0.095,0.018
0.096,0.026
0.097,0.025
0.098,0.013
0.099,0.002
0.1,0.001
0.101,-0.01
0.102,-0.01
0.103,-0.004
0.104,0.008
0.105,0.015
0.106,0.015
0.107,0.015
0.108,0.015
0.109,0.018
0.11,0.019
0.111,0.003
0.112,-0.012
0.113,-0.014
0.114,-0.01
0.115,-0.022
0.116,-0.024
0.117,-0.029
0.118,-0.021
0.119,-0.019
0.12,-0.026
0.121,-0.009
0.122,-0.01
0.123,-0.006
0.124,-0.008
0.125,-0.031
0.126,-0.052
0.127,-0.057
0.128,-0.04
0.129,-0.02
0.13,0.007
0.131,0.014
0.132,0.01
0.133,0.006
0.134,0.012
0.135,-0.005
0.136,-0.002
0.137,0.009
0.138,0.023
0.139,0.036
0.14,0.052
0.141,0.061
0.142,0.056
0.143,0.048
0.144,0.048
0.145,0.038
0.146,0.029
0.147,0.033
0.148,0.02
0.149,0.001
0.15,-0.007
0.151,-0.009
0.152,-0.004
0.153,-0.012
0.154,-0.003
0.155,0.005
0.156,-0.003
0.157,0.012
0.158,0.006
0.159,-0.01
0.16,-0.002
0.161,0.015
0.162,0.017
0.163,0.021
0.164,0.022
0.165,0.015
0.166,0.016
0.167,0.001
0.168,-0.002
0.169,-0.009
0.17,-0.016
0.171,-0.018
0.172,-0.015
0.173,-0.004
0.174,0
0.175,-0.001
0.176,-0.001
0.177,-0.003
0.178,-0.012
0.179,-0.015
0.18,-0.013
0.181,-0.016
0.182,-0.029
0.183,-0.034
0.184,-0.028
